Journal,SJR_2024
Urologia Internationalis,0.493
Behavioural Processes,0.492
Bulletin of Entomological Research,0.492
Drugs of Today,0.492
European Journal of Dermatology,0.492
Gland Surgery,0.492
Journal of Medical Ultrasonics,0.492
Kinesiology Review,0.492
AIDS Reviews,0.491
Developmental Neurorehabilitation,0.491
Home Health Care Services Quarterly,0.491
Journal of Biomedical Semantics,0.491
Public Health Genomics,0.491
Social Work in Mental Health,0.491
Allergy and Rhinology,0.49
Health Education,0.49
Health Psychology Report,0.49
Intelligence-Based Medicine,0.49
Ophthalmic Plastic and Reconstructive Surgery,0.49
Ophthalmic Surgery Lasers and Imaging Retina,0.49
BioMedInformatics,0.489
Iranian Journal of Public Health,0.489
Oncology (United States),0.489
Pediatric and Developmental Pathology,0.489
Arhiv za Higijenu Rada i Toksikologiju,0.488
Current Sexual Health Reports,0.488
Journal of Empirical Research on Human Research Ethics,0.488
Journal of Motor Behavior,0.488
Journal of Tropical Pediatrics,0.488
Mental Health Clinician,0.488
Neuroprotection,0.488
Reviews in Cardiovascular Medicine,0.488
Vascular,0.488
Endocrine Research,0.487
Journal of Basic and Clinical Physiology and Pharmacology,0.487
Ophthalmic Genetics,0.487
Acta Gastro-Enterologica Belgica,0.486
Annals of Clinical Biochemistry,0.486
Cardiovascular Engineering and Technology,0.486
Human Ecology,0.486
Microbiology Research,0.486
"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",0.485
Journal of Cardiothoracic Surgery,0.485
Journal of Medicinal Food,0.485
Kardiologia Polska,0.485
Osong Public Health and Research Perspectives,0.485
Veterinary Clinics of North America - Food Animal Practice,0.485
Cell and Tissue Banking,0.484
Emergencias,0.484
Human Heredity,0.484
International Angiology,0.484
International Journal of Adolescent Medicine and Health,0.484
Neurochirurgie,0.484
Precision Radiation Oncology,0.484
South African Family Practice,0.484
ANZ Journal of Surgery,0.483
International Archives of Otorhinolaryngology,0.483
International Journal of Art Therapy: Inscape,0.483
Journal of Forensic Odonto-Stomatology,0.483
Research Journal of Pharmacognosy,0.483
Diabetes Epidemiology and Management,0.482
Interdisciplinary Cardiovascular and Thoracic Surgery,0.482
Medical Law Review,0.482
Onderstepoort Journal of Veterinary Research,0.482
Physical and Engineering Sciences in Medicine,0.482
Clinical and Experimental Hepatology,0.481
JGH Open,0.481
Minimally Invasive Therapy and Allied Technologies,0.481
Review of Scientific Instruments,0.481
Arquivos Brasileiros de Cardiologia,0.48
Asia Pacific Journal of Clinical Nutrition,0.48
Critical Care Research and Practice,0.48
Journal of Taibah University Medical Sciences,0.48
Open Medicine (Poland),0.48
Drug Target Insights,0.479
Experimental Lung Research,0.479
JPRAS Open,0.479
Journal of Chemotherapy,0.479
Journal of Microbiological Methods,0.479
Nefrologia,0.479
ORL,0.479
Taiwan Journal of Ophthalmology,0.479
Thyroid Research,0.479
World Journal of Nephrology,0.479
Annals of Noninvasive Electrocardiology,0.478
Child's Nervous System,0.478
Dermatology Practical and Conceptual,0.478
Diagnostic and Interventional Radiology,0.478
Journal of Human Reproductive Sciences,0.478
Stroke Research and Treatment,0.478
American Journal of Veterinary Research,0.477
Journal of Current Ophthalmology,0.477
Medical Humanities,0.477
Minerva Obstetrics and Gynecology,0.477
Revista Clinica Espanola,0.477
Turkish Journal of Gastroenterology,0.477
International Journal of Health Governance,0.476
Magnetic Resonance Imaging Clinics of North America,0.476
Sexual and Relationship Therapy,0.476
European Journal of Prosthodontics and Restorative Dentistry,0.475
Clinical Teacher,0.474
Future Cardiology,0.474
Health SA Gesondheid,0.474
Innovations in Clinical Neuroscience,0.474
Interdisciplinary Perspectives on Infectious Diseases,0.474
"International Journal on Child Maltreatment: Research, Policy and Practice",0.474
Journal of Hand Surgery Global Online,0.474
Journal of International Medical Research,0.474
Journal of Medical Artificial Intelligence,0.474
Pharmacological Research - Modern Chinese Medicine,0.474
Child Care in Practice,0.473
Journal of Gambling Issues,0.473
Journal of Veterinary Medical Education,0.473
Microscopy Research and Technique,0.473
Orthopedics,0.473
Toxicology and Industrial Health,0.473
Anaesthesiology Intensive Therapy,0.472
Brazilian Oral Research,0.472
Journal of Ambulatory Care Management,0.472
Journal of Pharmacy Practice,0.472
Military Medicine,0.472
Surgical and Radiologic Anatomy,0.472
Clinical Biomechanics,0.471
European Clinical Respiratory Journal,0.471
International Journal of Orthopaedic and Trauma Nursing,0.471
Journal of Applied Biomechanics,0.471
Scandinavian Journal of Clinical and Laboratory Investigation,0.471
Arthropod Structure and Development,0.47
"Forensic Science, Medicine, and Pathology",0.47
Hygiene,0.47
"JSES Reviews, Reports, and Techniques",0.47
Journal of Applied Genetics,0.47
Journal of Emergency Medicine,0.47
JIMD Reports,0.469
Journal of Elder Abuse and Neglect,0.469
Journal of Osteoporosis,0.469
Magnetic Resonance Letters,0.469
Maternal-Fetal Medicine,0.469
Medicine (United States),0.469
Clinical Infection in Practice,0.468
Indian Journal of Pediatrics,0.468
Journal of Cancer Research and Therapeutics,0.468
Journal of Craniovertebral Junction and Spine,0.468
Psychiatric Genetics,0.468
Anesthesiology and Pain Medicine,0.467
MSMR,0.467
Archivos de Bronconeumologia,0.466
Footwear Science,0.466
Heart International,0.466
Molecular and Clinical Oncology,0.466
Quintessence International,0.466
Clinical Pediatric Endocrinology,0.465
Indian Journal of Palliative Care,0.465
Journal of Pediatric Ophthalmology and Strabismus,0.464
Respiratory Medicine and Research,0.464
World Journal of Experimental Medicine,0.464
African Journal of AIDS Research,0.463
Aging and Health Research,0.463
Journal of Peptide Science,0.463
Journal of Pharmacopuncture,0.463
Lifestyle Medicine,0.463
Pharmaceutical Development and Technology,0.463
Australian Journal of General Practice,0.462
Infants and Young Children,0.462
Neuroradiology Journal,0.462
Ontario Health Technology Assessment Series,0.462
Veterinary Clinical Pathology,0.462
Advances in Anatomy Embryology and Cell Biology,0.461
Brazilian Journal of Anesthesiology (English Edition),0.461
Current Pediatric Reviews,0.461
Dementia and Geriatric Cognitive Disorders Extra,0.461
Gynecologic Oncology Reports,0.461
Hand Surgery and Rehabilitation,0.461
Journal of Neurosurgical Sciences,0.461
Mediterranean Journal of Hematology and Infectious Diseases,0.461
Preparative Biochemistry and Biotechnology,0.461
Coronary Artery Disease,0.46
Critical Care Nurse,0.46
Global Pediatric Health,0.46
Journal of the American Association of Nurse Practitioners,0.46
Journal of the American Mosquito Control Association,0.46
Nutrition and Health,0.46
Skin Appendage Disorders,0.46
Tohoku Journal of Experimental Medicine,0.46
Behavioral Sciences and the Law,0.459
Holistic Nursing Practice,0.459
International Journal of Pharmacy Practice,0.459
Journal of Family and Community Medicine,0.459
Journal of Obstetrics and Gynaecology,0.459
Orbit,0.459
Partner Abuse,0.459
Personalized Medicine,0.459
Photonics,0.459
Bratislava Medical Journal,0.458
Community Health Equity Research and Policy,0.458
Indian Heart Journal,0.458
International Journal of Experimental Pathology,0.458
Journal of Biomechanical Engineering,0.458
Journal of Communication in Healthcare,0.458
Journal of Innovative Optical Health Sciences,0.458
Transplant Immunology,0.458
Croatian Medical Journal,0.457
Journal of Forensic and Legal Medicine,0.457
Journal of Medical Radiation Sciences,0.457
Pain Management,0.457
Violence and Gender,0.457
CIN - Computers Informatics Nursing,0.456
Legal Medicine,0.456
Methodist DeBakey Cardiovascular Journal,0.456
International Journal of Occupational Medicine and Environmental Health,0.455
New Zealand Medical Journal,0.455
Acta Biotheoretica,0.454
Critical Reviews in Immunology,0.454
Dementia e Neuropsychologia,0.454
Diving and Hyperbaric Medicine,0.454
Journal of Radiological Protection,0.454
"Medicine, Science and the Law",0.454
Breast Journal,0.453
Cardiology in Review,0.453
Emergency Radiology,0.453
"Endocrinologia, Diabetes y Nutricion",0.453
International Journal of Rehabilitation Research,0.453
Iranian Journal of Medical Sciences,0.453
Iranian Journal of Pharmaceutical Research,0.453
"Journal of Neurological Surgery, Part B: Skull Base",0.453
Nursing Education Perspectives,0.453
Acta Cardiologica Sinica,0.452
Hand Clinics,0.452
Journal of Cosmetic and Laser Therapy,0.452
Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,0.452
Scandinavian Cardiovascular Journal,0.452
American Journal of Ophthalmology Case Reports,0.451
Atlas of the Oral and Maxillofacial Surgery Clinics of North America,0.451
Clinical Physiology and Functional Imaging,0.451
Discover Social Science and Health,0.451
World Journal of Emergency Medicine,0.451
Australian Journal of Forensic Sciences,0.45
Canadian Journal of Physiology and Pharmacology,0.45
Cancer/Radiotherapie,0.45
Revista Brasileira de Ginecologia e Obstetricia,0.45
Strategies in Trauma and Limb Reconstruction,0.45
Women's Health Reports,0.45
Acta Oto-Laryngologica,0.449
Annals of Transplantation,0.449
Criminal Behaviour and Mental Health,0.449
Critical Care Science,0.449
European Journal of Anaesthesiology and Intensive Care,0.449
Geburtshilfe und Frauenheilkunde,0.449
GeroPsych: The Journal of Gerontopsychology and Geriatric Psychiatry,0.449
International Journal of Translational Medicine,0.449
JACCP Journal of the American College of Clinical Pharmacy,0.449
Mental Health Review Journal,0.449
Revista Paulista de Pediatria,0.449
Thoracic and Cardiovascular Surgeon,0.449
Anadolu Psikiyatri Dergisi,0.448
Anatomical Science International,0.448
Arquivos de Neuro-Psiquiatria,0.448
Canadian Journal of Urology,0.448
Danish Medical Journal,0.448
Journal of EMDR Practice and Research,0.448
Journal of Invasive Cardiology,0.448
Mental Illness,0.448
Annals of Indian Academy of Neurology,0.447
Central European Journal of Immunology,0.447
Ethiopian journal of health sciences,0.447
International Journal of Surgical Oncology,0.447
International Journal of Surgical Pathology,0.447
Journal of Ultrasonography,0.447
Clinical Nutrition Open Science,0.446
Journal of Motor Learning and Development,0.446
Journal of Social Work in End-of-Life and Palliative Care,0.446
Journal of Visceral Surgery,0.446
Libyan Journal of Medicine,0.446
South African Medical Journal,0.446
Turk Patoloji Dergisi,0.446
International Journal of Microsimulation,0.445
Journal of Carcinogenesis,0.445
Journal of Osteopathic Medicine,0.445
Journal of Pediatric Endocrinology and Metabolism,0.445
Journal of Science in Sport and Exercise,0.445
"Journal of Mental Health Training, Education and Practice",0.444
Rheumatology and Autoimmunity,0.444
Anuario de Psicologia Juridica,0.443
Behavioral Science and Policy,0.443
Journal of Audiology and Otology,0.443
Mathematical Biosciences and Engineering,0.443
Physical Therapy Reviews,0.443
Tzu Chi Medical Journal,0.443
3D Printing in Medicine,0.442
Journal of Ethnicity in Substance Abuse,0.442
Journal of Medical Biochemistry,0.442
Medicine and Pharmacy Reports,0.442
OIE Revue Scientifique et Technique,0.442
Prosthetics and Orthotics International,0.442
Seminars in Arthroplasty JSES,0.442
Seminars in Dialysis,0.442
"Thoracic and Cardiovascular Surgeon, Supplement",0.442
Journal of Physiological Investigation,0.441
Missouri Medicine,0.441
Motor Control,0.441
Western Pacific Surveillance and Response Journal : WPSAR,0.441
iRADIOLOGY,0.441
Actas Urologicas Espanolas,0.44
Annals of Dermatology,0.44
Baltic Journal of Health and Physical Activity,0.44
Indian Journal of Dermatology,0.44
Journal of Disability and Religion,0.44
Journal of Herbal Medicine,0.44
Polimery w medycynie,0.44
Asia-Pacific Journal of Public Health,0.439
Genomics and Informatics,0.439
Journal of Music Therapy,0.439
VirusDisease,0.439
Annali dell'Istituto Superiore di Sanita,0.438
Biomechanics (Switzerland),0.438
Clinical Pathology,0.438
Endocrine and Metabolic Science,0.438
Nursing Economics,0.438
Rehabilitation Research and Practice,0.438
Advances in Public Health,0.437
Archives of Environmental and Occupational Health,0.437
Bioanalysis,0.437
British Journal of Learning Disabilities,0.437
British Poultry Science,0.437
Cardiology Research and Practice,0.437
Education for Primary Care,0.437
International Journal of Medical Education,0.437
Journal of Craniofacial Surgery,0.437
Journal of Mid-Life Health,0.437
Journal of Research in Medical Sciences,0.437
Journal of Smoking Cessation,0.437
Journal of VitreoRetinal Diseases,0.437
Molecular Syndromology,0.437
ACSM's Health and Fitness Journal,0.436
American Indian and Alaska Native Mental Health Research,0.436
Cognitive and Behavioral Neurology,0.436
Indian Journal of Orthopaedics,0.436
International Journal of Healthcare Management,0.436
Journal of the American Academy of Psychiatry and the Law,0.436
Laboratory Medicine,0.436
Oral and Maxillofacial Surgery Clinics of North America,0.436
Pakistan Journal of Medical Sciences,0.436
BMC Research Notes,0.435
Endocrine Regulations,0.435
OMICS A Journal of Integrative Biology,0.435
Revista Argentina de Microbiologia,0.435
Sexuality and Disability,0.435
"Surgical Laparoscopy, Endoscopy and Percutaneous Techniques",0.435
VideoGIE,0.435
CVIR Endovascular,0.434
Food Additives and Contaminants,0.434
GERMS,0.434
Journal of Smooth Muscle Research,0.434
Palliative Medicine Reports,0.434
Pediatric Physical Therapy,0.434
Transfusion Medicine,0.434
Wiener Medizinische Wochenschrift,0.434
International Heart Journal,0.433
International Journal of Periodontics and Restorative Dentistry,0.433
Journal of Extra-Corporeal Technology,0.433
Journal of Neuro-Ophthalmology,0.433
MedComm - Oncology,0.433
Nurse Researcher,0.433
Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,0.432
Journal of Agricultural Safety and Health,0.432
Journal of Anthropological Sciences,0.432
Journal of the Korean Academy of Child and Adolescent Psychiatry,0.432
Therapies,0.432
Actas Espanolas de Psiquiatria,0.431
Clinical Microbiology Newsletter,0.431
Clinical Supervisor,0.431
Frontiers in Drug Safety and Regulation,0.431
Integrative Biology,0.431
Translational Research in Anatomy,0.431
Atencion Primaria,0.43
Cancer Diagnosis and Prognosis,0.43
Obesity Medicine,0.43
Genes and Genetic Systems,0.429
Journal of International Advanced Otology,0.429
Journal of Medical Mycology,0.429
Journal of Toxicological Sciences,0.429
Portal Hypertension and Cirrhosis,0.429
Archives of Rheumatology,0.428
Egyptian Heart Journal,0.428
"European Journal of Cancer, Supplement",0.428
Journal of Nippon Medical School,0.428
Plastic Surgery,0.428
AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,0.427
Journal of Mass Spectrometry,0.427
Planta Medica,0.427
Current Ophthalmology Reports,0.426
JTCVS Techniques,0.426
Therapeutic Apheresis and Dialysis,0.426
Tumor Biology,0.426
Anesthesiology Research and Practice,0.425
Chemistry and Biodiversity,0.425
Comparative Medicine,0.425
Diabetology International,0.425
Foot,0.425
General Physiology and Biophysics,0.425
Infectious Microbes and Diseases,0.425
International Journal of Law and Psychiatry,0.425
Journal of Clinical and Experimental Hematopathology,0.425
Journal of Cutaneous and Aesthetic Surgery,0.425
Journal of Ultrasound,0.425
Journal of the Chinese Medical Association,0.425
Current Problems in Diagnostic Radiology,0.424
JSAMS Plus,0.424
Journal of Applied Biomedicine,0.424
Journal of Occupational and Environmental Hygiene,0.424
Journal of Oncology Pharmacy Practice,0.424
Ultrastructural Pathology,0.424
Annals of Saudi Medicine,0.423
Carbohydrate Research,0.423
General Thoracic and Cardiovascular Surgery,0.423
Journal of Laryngology and Otology,0.423
Journal of Pediatric Orthopaedics Part B,0.422
Acta Neurobiologiae Experimentalis,0.421
Hemodialysis International,0.421
Journal of Counselor Leadership and Advocacy,0.421
Sleep and Biological Rhythms,0.421
BMJ Simulation and Technology Enhanced Learning,0.42
Computational and Systems Oncology,0.42
Saudi Medical Journal,0.42
Singapore Medical Journal,0.42
Surgical Innovation,0.42
Journal of Computer Assisted Tomography,0.419
Journal of Pediatric Pharmacology and Therapeutics,0.419
Scottish Medical Journal,0.419
"Health, Risk and Society",0.418
Medical Molecular Morphology,0.418
Rambam Maimonides Medical Journal,0.418
Zoo Biology,0.418
Acta Clinica Belgica,0.417
Acta Informatica Medica,0.417
International Journal of Artificial Organs,0.417
Journal of Otology,0.417
Journal of integrative bioinformatics,0.417
Quarterly Journal of Nuclear Medicine and Molecular Imaging,0.417
Allergologia et Immunopathologia,0.416
Annals of Human Biology,0.416
"BMJ Surgery, Interventions, and Health Technologies",0.416
Intervention,0.416
Revista de Investigacion Clinica,0.416
Drug Research,0.415
"Journal of Neurological Surgery, Part A: Central European Neurosurgery",0.415
Multidisciplinary Respiratory Medicine,0.415
Pediatric Neurosurgery,0.415
Psychoanalytic Psychotherapy,0.415
Cerebellum and Ataxias,0.414
Experimental Parasitology,0.414
Indian Journal of Anaesthesia,0.414
Asian Bioethics Review,0.413
Case Reports in Dermatology,0.413
Lifestyle Genomics,0.413
Reports of Biochemistry and Molecular Biology,0.413
Acta Radiologica,0.412
Biotechnic and Histochemistry,0.412
Endocrines,0.412
Journal of Community Health Nursing,0.412
Journal of Plastic Surgery and Hand Surgery,0.412
Mediastinum,0.411
Postepy Psychiatrii i Neurologii,0.411
Acta Microbiologica et Immunologica Hungarica,0.41
Canadian Liver Journal,0.41
Cutaneous and Ocular Toxicology,0.41
Cytopathology,0.41
Journal of Dairy Research,0.41
BMJ Leader,0.409
International Journal of Care Coordination,0.409
Malaysian Journal of Medical Sciences,0.409
Acta Orthopaedica et Traumatologica Turcica,0.408
Archives de Pediatrie,0.408
British Journal of Neurosurgery,0.408
Journal of Laparoendoscopic and Advanced Surgical Techniques - Part A,0.408
Journal of Skin Cancer,0.408
Kennedy Institute of Ethics Journal,0.408
Minimally Invasive Surgery,0.408
Molecular Cytogenetics,0.408
Progress in Transplantation,0.408
Saudi Journal of Ophthalmology,0.408
Turkish Journal of Obstetrics and Gynecology,0.408
American Journal of Health Behavior,0.407
Canadian Journal of Addiction,0.407
Forensic Science International: Reports,0.407
Journal of Water Sanitation and Hygiene for Development,0.407
Current Research in Environmental and Applied Mycology,0.406
"Emerging Trends in Drugs, Addictions, and Health",0.406
Home Health Care Management and Practice,0.406
Journal of Medical and Biological Engineering,0.406
Journal of Offender Rehabilitation,0.406
Advances in Anesthesia,0.405
Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery,0.405
BMJ Military Health,0.405
"Bioscience, Biotechnology and Biochemistry",0.405
Journal of the Korean Association of Oral and Maxillofacial Surgeons,0.405
Minerva Cardiology and Angiology,0.405
NeoReviews,0.405
Biomedical Research (Japan),0.404
European Cytokine Network,0.404
European Science Editing,0.404
Medical Devices: Evidence and Research,0.404
Folia Morphologica,0.403
JAAD Case Reports,0.403
Journal for Healthcare Quality,0.403
Journal of Molecular Pathology,0.403
Journal of Psychosocial Rehabilitation and Mental Health,0.403
"Parasites, Hosts and Diseases",0.403
Perfusion (United Kingdom),0.403
Veterinary Record,0.403
Noise and Health,0.402
QJM: An International Journal of Medicine,0.402
Reumatologia Clinica,0.402
Roczniki Panstwowego Zakladu Higieny / Annals of the National Institute of Hygiene,0.402
Actas Dermo-Sifiliograficas,0.401
Archives of Disease in Childhood: Education and Practice Edition,0.401
Child Health Nursing Research,0.401
International Journal of Mycobacteriology,0.401
Journal of Medical Engineering and Technology,0.401
Journal of Pain and Palliative Care Pharmacotherapy,0.401
Journal of Traditional Chinese Medicine,0.401
Network Modeling Analysis in Health Informatics and Bioinformatics,0.401
Radiologia Brasileira,0.401
Turk Psikiyatri Dergisi,0.401
Bioelectromagnetics,0.4
Child Abuse Review,0.4
Forensic Imaging,0.4
International Journal of Prisoner Health,0.4
Keio Journal of Medicine,0.4
Revista Portuguesa de Cardiologia,0.4
Chinese Journal of Endemiology,0.399
European Journal of Integrative Medicine,0.399
Frontiers in Ophthalmology,0.399
Ginekologia Polska,0.399
Hormone Molecular Biology and Clinical Investigation,0.399
Journal of Critical Care Medicine,0.399
Journal of Laboratory Medicine,0.399
Journal of Medicine Access,0.399
Patient Experience Journal,0.399
Topics in Magnetic Resonance Imaging,0.399
Acta Pharmaceutica,0.398
Computer Methods in Biomechanics and Biomedical Engineering,0.398
Developmental Child Welfare,0.398
Journal of Helminthology,0.398
Journal of Psychosocial Nursing and Mental Health Services,0.398
Logopedics Phoniatrics Vocology,0.398
Mediterranean Journal of Rheumatology,0.398
Advances in Psychiatry and Behavioral Health,0.397
Journal of Parasitology,0.397
Neuropediatrics,0.397
European Physical Journal E,0.396
Journal of Forensic Psychiatry and Psychology,0.396
Anatolian Journal of Cardiology,0.395
EJNMMI Reports,0.395
Journal of Contemporary Brachytherapy,0.395
Journal of Clinical Neuromuscular Disease,0.394
"Photobiomodulation, Photomedicine, and Laser Surgery",0.394
Revista Brasileira de Enfermagem,0.394
Advances in Skin and Wound Care,0.393
Annals of Clinical Psychiatry,0.393
Annals of the Royal College of Surgeons of England,0.393
Current Rheumatology Reviews,0.393
Iranian Journal of Microbiology,0.393
Nuclear Medicine Communications,0.393
Rivista di Psichiatria,0.393
Advances in Traditional Medicine,0.392
Annals of Blood,0.392
BioSystems,0.392
Continuity in Education,0.392
Journal of Cognitive Psychotherapy,0.392
Journal of epidemiology and population health,0.392
MEDICC Review,0.392
Romanian Journal of Morphology and Embryology,0.392
Apunts Sports Medicine,0.391
Genetica,0.391
Human Movement,0.391
Journal of Cartilage and Joint Preservation,0.391
Noropsikiyatri Arsivi,0.391
Sultan Qaboos University Medical Journal,0.391
Dialogues in Health,0.39
Gastroenterology and Hepatology from Bed to Bench,0.39
Middle East Fertility Society Journal,0.39
Retinal Cases and Brief Reports,0.39
Anatomy and Cell Biology,0.389
International Journal of Forensic Mental Health,0.389
Journal of Infection in Developing Countries,0.389
Molecular and Cellular Toxicology,0.389
"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",0.389
Saudi Journal of Anaesthesia,0.389
American Journal of Clinical Hypnosis,0.388
"Egyptian Journal of Neurology, Psychiatry and Neurosurgery",0.388
Journal of Radioanalytical and Nuclear Chemistry,0.388
Techniques in Vascular and Interventional Radiology,0.388
Cytogenetic and Genome Research,0.387
Journal of Cancer Metastasis and Treatment,0.387
Journal of Neonatal-Perinatal Medicine,0.387
Journal of Nutrition in Gerontology and Geriatrics,0.387
Medical Hypotheses,0.387
Annals of Agricultural and Environmental Medicine,0.386
Current Urology,0.386
Journal of Clinical Virology Plus,0.386
Scandinavian Journal of Disability Research,0.386
Turkish Journal of Medical Sciences,0.386
Vacunas,0.386
Acta Myologica,0.385
American Journal of Dermatopathology,0.385
Forensic Science International: Mind and Law,0.385
Indian Journal of Pharmacology,0.385
"Iranian Journal of Allergy, Asthma and Immunology",0.385
Journal of Cancer Epidemiology,0.385
Journal of Forensic Psychology Research and Practice,0.385
Journal of Oleo Science,0.385
Arquivos Brasileiros de Oftalmologia,0.384
Medical Journal of the Islamic Republic of Iran,0.384
Physical Activity Review,0.384
Polish Journal of Radiology,0.384
Transfusion and Apheresis Science,0.384
Iranian Journal of Ageing,0.383
Journal of Intergenerational Relationships,0.383
Journal of the Turkish German Gynecology Association,0.383
Medicina Clinica,0.383
Annals of the ICRP,0.382
Arquivos de Gastroenterologia,0.382
Bioelectricity,0.382
Biomedical Chromatography,0.382
Enfermeria Intensiva,0.382
Frontiers in Nuclear Medicine,0.382
Intractable and Rare Diseases Research,0.382
Journal of Cerebrovascular and Endovascular Neurosurgery,0.382
Journal of Lasers in Medical Sciences,0.382
Journal of Reproduction and Infertility,0.382
Veterinary Clinics of North America - Exotic Animal Practice,0.382
Current Hepatology Reports,0.381
Environmental Quality Management,0.381
International Journal of Clinical Pediatric Dentistry,0.381
Medical Law International,0.381
Mental Health and Social Inclusion,0.381
Monash Bioethics Review,0.381
Clinical and Translational Metabolism,0.38
Indian Pediatrics,0.38
Journal of Visual Impairment and Blindness,0.38
Ochsner Journal,0.38
Parasitologia,0.38
Current Therapeutic Research - Clinical and Experimental,0.379
Geospatial Health,0.379
Japanese Journal of Infectious Diseases,0.379
Journal of Electrocardiology,0.379
Journal of Zoo and Wildlife Medicine,0.379
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",0.379
Psychological Studies,0.379
Tobacco Prevention and Cessation,0.379
Archivio Italiano di Urologia e Andrologia,0.378
Journal for Nurses in Professional Development,0.378
Obesities,0.378
Anemia,0.377
Christian Bioethics,0.377
Current Aging Science,0.377
Diagnostic Cytopathology,0.377
Health Systems,0.377
"Hearing, Balance and Communication",0.377
Korean Journal of Neurotrauma,0.377
Biomedical Physics and Engineering Express,0.376
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,0.376
Indian Journal of Endocrinology and Metabolism,0.376
"Recent patents on food, nutrition & agriculture",0.376
Residential Treatment for Children and Youth,0.376
Sarcoidosis Vasculitis and Diffuse Lung Diseases,0.376
Saudi Journal of Medicine and Medical Sciences,0.376
International Journal of Mental Health Promotion,0.375
Respiratory Medicine: X,0.375
Turkish Archives of Pediatrics,0.375
Access Microbiology,0.374
Hematology Reports,0.374
International Journal of Care and Caring,0.374
"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",0.374
"Laparoscopic, Endoscopic, and Robotic Surgery",0.374
Clinical and Experimental Neuroimmunology,0.373
Gastroenterologia y Hepatologia,0.373
"Global Health, Epidemiology and Genomics",0.373
Journal of Ayurveda and Integrative Medicine,0.373
Medical Dosimetry,0.373
NASN School Nurses,0.373
Progress in Microbes and Molecular Biology,0.373
Sovremennye Tehnologii v Medicine,0.373
Annals of Thoracic and Cardiovascular Surgery,0.372
Biopreservation and Biobanking,0.372
Education for Health: Change in Learning and Practice,0.372
Twin Research and Human Genetics,0.372
Advances in Experimental Medicine and Biology,0.371
JMIR Bioinformatics and Biotechnology,0.371
Journal of Enabling Technologies,0.371
Journal of Maxillofacial and Oral Surgery,0.371
"Medicine, Conflict and Survival",0.371
African Health Sciences,0.37
European Burn Journal,0.37
Hepatic Oncology,0.37
Homeopathy,0.37
International Ophthalmology Clinics,0.37
Medical Mycology Case Reports,0.37
Current Geriatrics Reports,0.369
"Ear, Nose and Throat Journal",0.369
Hepatology Forum,0.369
Herz,0.369
New Microbiologica,0.369
Radiological Physics and Technology,0.369
AsiaIntervention,0.368
Psychiatry International,0.368
Advances in Cognitive Psychology,0.367
Advances in Surgery,0.367
Annali di Igiene Medicina Preventiva e di Comunita,0.367
Archives of Iranian Medicine,0.367
Clinical Case Studies,0.367
Clinical Nephrology,0.367
Hepatoma Research,0.367
Journal of Innovations in Cardiac Rhythm Management,0.367
Turkish Journal of Haematology,0.367
Urology Research and Practice,0.367
Wounds,0.367
Current Medical Mycology,0.366
Indian Journal of Medical Microbiology,0.366
Journal of Clinical Ultrasound,0.366
Journal of Comparative Pathology,0.366
Medical Science Monitor Basic Research,0.366
"Progress in Community Health Partnerships: Research, Education, and Action",0.366
Dermatologica Sinica,0.365
"Families, Systems and Health",0.365
Journal of Infection Prevention,0.365
Journal of Vector Borne Diseases,0.365
Mathematical Medicine and Biology,0.365
Reumatismo,0.365
"Crime, Law and Social Change",0.364
International Journal of Pediatrics and Adolescent Medicine,0.364
Journal of Anaesthesiology Clinical Pharmacology,0.364
Plastic and Aesthetic Research,0.364
Psychiatria Danubina,0.364
"Speech, Language and Hearing",0.364
Ultrasound International Open,0.364
World Mycotoxin Journal,0.364
British and Irish Orthoptic Journal,0.363
Reviews on Recent Clinical Trials,0.363
Urology Journal,0.363
Blood Coagulation and Fibrinolysis,0.362
"Forensische Psychiatrie, Psychologie, Kriminologie",0.362
Global Cardiology Science and Practice,0.362
IISE Transactions on Healthcare Systems Engineering,0.362
Journal of Creativity in Mental Health,0.362
Journal of Religion and Spirituality in Social Work,0.362
Somatechnics,0.362
Biomedical Human Kinetics,0.361
Bulletin of the Menninger Clinic,0.361
Combinatorial Chemistry and High Throughput Screening,0.361
Continence,0.361
Current Oral Health Reports,0.361
Current Otorhinolaryngology Reports,0.361
Epidemiologia e Prevenzione,0.361
JMIR Dermatology,0.361
"Journal of Family Trauma, Child Custody and Child Development",0.361
Acta Virologica,0.36
Current Drug Research Reviews,0.36
"Hematology, Transfusion and Cell Therapy",0.36
Journal of Atrial Fibrillation,0.36
Journal of Minimal Access Surgery,0.36
Paediatrics and International Child Health,0.36
Sexual Health and Compulsivity,0.36
Therapeutic Hypothermia and Temperature Management,0.36
Case Reports in Immunology,0.359
Egyptian Journal of Forensic Sciences,0.359
